% 't [ms]','m [mm^3];
    0.18      2.2
    0.22      4.2
    0.26      6.0
    0.30      8.0
    0.34     11.5
    0.38     15.1
    0.42     18.9
    0.46     21.9
    0.50     24.2
    0.54     26.3
    0.58     27.8
    0.62     30.0
    0.66     31.7
    0.70     32.9
    0.74     34.1
    0.78     35.2
    0.82     36.8
    0.86     38.3
    0.90     39.7
    0.94     41.5
    0.98     43.3
    1.02     44.8
    1.06     45.8
    1.10     47.0
    1.14     48.2
    1.18     49.5
    1.22     50.8
    1.26     52.2
    1.30     53.4
    1.34     54.6
    1.38     55.8
    1.42     56.9
    1.46     57.9
    1.50     59.2
